id,venue_county,event_type,live,zipcode,participate,codee,important,codeg,money,codeh,source,resource,name,email,trouble
,,,,,Performing Arts of Woodstock,vt,Bard College,tc,,,Hudson Valley Almanac,WKZE,,,
,,,,,Shadowlands,vt,Rosendale Theater,v-multi,,,,WAMC,,,
,,,,,various music venues,vm,,,,,,,,,
NYSCA-15,Ulster,awards,Cornwall on Hudson-on-Hudson,12520,Music,m,music,m,,,Web: Arts in Ornage,fb,,,
,,,,,dance,d,dance,vd,,,,Times Herald Record,,,
,,,,,ethnic,e-cult,ethnic,e-cult,,,,libraries,,,
NYSCA-16,Ulster,awards,Saugerties,12477,Gallery Exhibits and openings,aos,Saugerties Artists Studio Tour,aos,can't decide right now.,,web: Art Along the Hudson,WAMC,,,
,,,,,art tours,ag,,,,,Print: newspaper articles,WKZE,,,
,,,,,music,pm,,,,,,Arts Mid-Hudson,,,
,,,,,special events such as the opening of the Walkway Over the Hudson,**,,,,,,,,,
,,,,,street art,mg-strt,,,,,,,,,
NYSCA-17,Ulster,awards,Warwick,10990,movies screenings,**,Hudson Valley Jazz festival,fm,movies/tv studio for production,,,Hudson Valley Film Commission,,,
,,,,,music venues,vm,Cornerstone,mg-j,,,,,,,
,,,,,theater performances,pt,Woodstock Film  festival,**,,,,,,,
,,,,,art shows,as,performing arts,f-film,,,,,,,
,,,,,,,,p,,,,,,,
NYSCA-18,Ulster,awards,Warwick,10990,music,v-mo,"""american born"" one that presents local artists en masse like a music festival",fm,well supported performance venues that pay musicians,vm,web: several,fb,,,
,,,,,movies (when happening),,jazz,mg-j,,,local papers,Twitter,,,
,,,,,art (all forms),,*,,,,,,,,
NYSCA-19,Ulster,awards,Kingston,12401,Art Centro,ac,Bardavon,v-multi,a FAB(rication) LAB,,,email: Byrdcliffe,,,
,,,,,Barrett Art Center,ag,UPAC,v-multi,,,,ASK,,,
,,,,,Arts Society of Kingston,fa,,,,,,B* Gallery,,,
,,,,,0+ Festival and many more,ago,,,,,,,,,
,,,,,galleires,,,,,,,,,,
,,,,,shows,,,,,,,,,,
,,,,,,,,,,,,,,,
NYSCA-20,Ulster,awards,Wallkill,12589,concerts,mc,,,,,web: Arts Mid-Hudson,Times Herald Record,,,
,,,,,museums,v-mu,,,,,GNSO,local news,,,
NYSCA-21,Ulster,awards,Hurley,12443,"Ulster Ballet Company  ""A Christmas Carol"" festival of dance",dc,theater,t,equity theater,tc,web: UPAC.org,Old Dutch Church,,,
,,,,,UPAC,pd,music event,m,,,Ulsterballet.org,,,,
,,,,,Center for the Performing Arts at Rhinebeck,vt,,,,,,,,,
,,,,,Woodstock Playhouse,vt,,,,,,,,,
NYSCA-22,Ulster,awards,West Hurley,12491,Ulster Ballet,dc,Performing Arts of Woodstock,vt,,,web: Hudson Valley Mag,fb,,,
,,,,,Festival of Dance,db,DIA,am,,,Woodstock Times,Woodstock Times,,,
,,,,,UPAC,v-multi,,,,,WDST,WDST,,,
,,,,,Bardavon,v,,,,,,WAMC,,,
,,,,,Woodstock Playhouse,multi,,,,,,,,,
,,,,,Upstate Films,v-flm,,,,,,,,,
,,,,,Rosendale Theater,v-multi,,,,,,,,,
NYSCA-23,Ulster,awards,New Hamburg,12590,Greenwood Lake Library,v-lib,Storm King Arts Center,ag,museums,v-mu,web: eblasts from Arts Mid-Hudson,radio Woodstock. recommendations from others,,,
,,,,,,,DIA,am,world history,**,Orange County Tourism,,,,
,,,,,,,Frances Lehman Loeb Art Center,am,historic house museums,,individual galleries,,,,
,,,,,,,,,modern and contemporary (art?),,artists,,,,
,,,,,,,,,folk art,,,,,,
NYSCA-24,Ulster,awards,Greenwood Lake,10925,Greenwood Lake Library,v-lib vt,Hudson Valley Jazz festival,fm,music,m,web: HudsonValley.com (unknown),fb,,,
,,,,,Sugar Loaf Performing Arts Center,,Applefest,mg-j,performing arts center,vmp,,Times Herald Record,,,
,,,,,,,Music Makers Concert series,**,,,,WTBQ,,,
,,,,,,,,m-cs,,,,News 12,,,
,,,,,,,,,,,,neighborhood journal,,,
NYSCA-25,Ulster,awards,Saugerties,12477,Art Along the Hudson kick off,fa,Saugerties Art Studio tour,aos,chamber music,"mg-chm
",word of mouth.  I would love one website sorted,WMHT,,,
,,,,,Saugerties Art Studio Tour,aos,,,,,,,,,
NYSCA-26,Ulster,awards,Pine Bush,12566,openings at museums and galleries,ago,all of them - art related,aed,more art schools and places for young children,ka,web: Arts  Mid-Hudson,FB,,,
,,,,,meetings,am,teaching opportunities,,,ke,Newburgh Art Salon,,,,
,,,,,,,,,,,ASK,,,,
NYSCA-27,Ulster,awards,Saugerties,12477,music,as,concerts,"mc
",catskill regional festival,e-loc,*,Table Mag,,,
,,,,,some art shows,,,,,f-out,,WAMC,,,
NYSCA-28,Ulster,awards,Saugerties,12477,Clearwater Festival,fm,,,support for underserved community members to attend cultural and arts events,,print: Woodstock Times,WAMC,,,
,,,,,Bardavon,v-multi,,,,,Chronogram,WKZE,,,
,,,,,Ashokan Center,v-multi,,,,,,,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,Bethel Woods,v-multi,ones that bring the community together and showcase the area,e-loc,a hotel under the Walkway Over the Hudson,,web: Walkway Over the Hudson,,,,
,,,,,Mid,v-multi,,,,,Dutchess Chamber,,,,
,,,,,Hudson Civic Center,,,,,,,,,,
,,,,,Walkway Over the Hudson,c-tl,,,,,Dutchess Tourism,,,,
Dragon,Dutchess,cultural festival,"Town of Poughkeepsie
",12603,HV Dance Community,dc,Dance,"d
",most events on river,e-loc,,WAMC,,,
,,,,,Vassar Productions,tc,,,,v-out,,,,,
,,,,,,vc,,,,,,,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,Dragon Boat Races,f-cult,historical sites,c-th,river focused events,v-out,,FB,,,
,,,,,craft fairs,f-craft,festivals,v-out,,c-t,,Print: PoJo - usually day after event),,,
,,,,,historical events (not as much as we'd like),c-th,fun outdoor activities (by water! Dragon Boat),,,,,,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,different ethnicities,f-cult,Dragon Boat,f-cult,,,web: Hudson Valley fb page,fb,,,
,,,,,Dragon Boat Festiva,f,Hudson Walkway Over the Hudson walks,**,,,lost pets of hv,free mags,,,
,,,,,new,**,leukemia walk,**,,,Walkway Over the Hudson FB page,Chronogarm,,,
,,,,,age fests,,,,,,,Healthy Living,,,
,,,,,fair trade events,,Vassar art gallery,vc,,,,,,,
,,,,,,,Loeb center,ag,,,,,,,
,,,,,,,,ag,,,,,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,free events outdoors,v-out,,,Native American musuem,,,WDST,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,,,,,,,PoJo,WAMC,,,
,,,,,,,,,,,,mha (??Mental Health Assoc.),,,
Dragon,Dutchess,cultural festival,Fishkill,12524,music,m,Beacon,c-t,music,,print: local papers.  local stations. Catholic churches in HV,,,,
,,,,,photography,ag-photo,Poughkeepise,c-t,,,,,,,
,,,,,dance,d,Chance theater,v-com,,,,,,,
,,,,,,,Bardavon,v-multi,,,,,,,
,,,,,,,Bethel Woods,v-multi,,,,,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,Bardavon,v-multi,Bardavon,v-multi,,,,FB,,,
,,,,,Bethel Woods,v-multi,Bethel Woods,v-multi,,,,PoJo,,,
,,,,,UPAC,v-multi,UPAC,v-multi,,,,WDST,,,
,,,,,,,,,,,,Barrett Art Center,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,Bardavon,v-multi,Arts Mid-Hudson,agrp,bring back Poughkeepsie City Riverfest,,web: Arts Mid-Hudson,PoJo,,,
,,,,,Vassar Galleries,vc,DIA,am,International Food Festival,,Enjoy-PoJo,Arts Mid-Hudson,,,
,,,,,dance,ag,Mid Hudson Mid-Hudson Heritage Center,v-multi,,,,,,,
,,,,,theater,d,,,,,,,,,
,,,,,Half,t,,,,,,,,,
,,,,,Moon Theater,vt,,,,,,,,,
Dragon,Dutchess,cultural festival,Rhinebeck,12572,Bardavon,v-multi,Bardavon,v-multi,,,,,,,
,,,,,American Symphony Orchestra Bard College,m-grp,Vassar,vc,,,,,,,
,,,,,Hudson Valley Philharmonic,mg-sy,Bard College,vc,,,,,,,
,,,,,Rhinebeck Chamber Music Society,vc,music and art events,pm,,,,,,,
,,,,,Hudson Valley Folk Guild,m-grp,,as,,,,,,,
,,,,,art shows,m-grp,,,,,,,,,
,,,,,Powerhouse Theater,mg-chm,,,,,,,,,
,,,,,Cunneen,**,,,,,,,,,
,,,,,Hackett,as,,,,,,,,,
,,,,,,vt,,,,,,,,,
,,,,,,v-mp,,,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12601,Bardavon,v-multi,,,simply more cultural and arts events -- esp in Poughkeepsie,,Newspapers: PoJo,WKIP,,,
,,,,,art shows,as,,,,,local magazine,WEOK,,,
,,,,,festival events,f,,,,,,WWRD,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,,,,,cultural events,,Dutchess Chamber and Orange Chamber of commerce,,,,
Dragon,Dutchess,cultural festival,Beacon,12508,second saturdays in Beacon,aos,,,community art days,e-loc,,fb,,,
,,,,,gallery openings,ago,,,,aos,,flyers,,,
,,,,,,,,,,,,WFUV (Fordham U. radio),,,
Dragon,Dutchess,cultural festival,LaGrange,12569,art shows,as,Bardavon,v-multi,events that feature the arts,a,,,,,
Dragon,Dutchess,cultural festival,Putnam,10512,Dragon Boat Race,f-cult,Dutchess,,Dragon Boat Race,,,,,,
,,,,,Balloon Festival,,,,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12601,Mill Street Loft,ac,Dutchess countyfair art camp,,more studios for public use,,,fb,,,
Dragon,Dutchess,cultural festival,White Planes,10606,Balloon Festival,**,,,music,,web: random web searches,fb,,,
,,,,,Dragon Boat Festival,f-cult,,,,,,,,,
,,,,,Dutchess County Fair,v-multi,,,,,,,,,
,,,,,,v-out,,,,,,,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,Bardavon,v-multi,Bardavon,v-multi,,,PoJo,,,,
,,,,,Cunneen,v-mp,Howland Cultural Center,v-mp,,,recommendations,,,,
,,,,,Hackett,,,,,,,,,,
,,,,,DIA,vc,,,,,,,,,
,,,,,Vassar,f-out,,,,,,,,,
,,,,,festivals on waterfront,e-lib,,,,,,,,,
,,,,,public libraries,vc,,,,,,,,,
,,,,,Bard College,vc,,,,,,,,,
,,,,,New Paltz,,,,,,,,,,
Dragon,Dutchess,cultural festival,Pleasant Valley,12569,musical theater,tm,music,m,,,,,,,
Dragon,Dutchess,cultural festival,Beacon,12508,DIA,am,Bardavon,v-multi,I wish the Beacon theater were fully restored,,,,,,
,,,,,Howland Cultural Center,v-mp,Howland Cultural Center,v-mp,,,,,,,
,,,,,Beacon Theater,vt,,,,,,,,,
Dragon,Dutchess,cultural festival,Ulster Park,12487,Kingston Events,e-loc,Ones which engage broader community,,more outdoor music,v-out,web: Chronogram,fb,,,
,,,,,0+ Festival,fa,,,,m,Hudson Valley sites,print: Almanac,,,
Dragon,Dutchess,cultural festival,Hopewell Junction,12533,museums,v-mu,,,,,web: google,fb,,,
,,,,,festivals,f,,,,,,organizations: Miles of Hope,,,
Dragon,Dutchess,cultural festival,"Hartford , CT",6105,Sheep and Wool Festival,v-out,Locust Grove,v-multi,bronze sculpture,mg- s,recommendations,,,,
,,,,,County Living Fair,f-cult,,,,,,,,,
,,,,,,e-fair,,,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12603,Bardavon,v-mulit,SUNY New Paltz,vc,,,,fb,,,
,,,,,Cunneen,v-mp,Vassar,vc,,,,PoJo,,,
,,,,,Hackett,,,,,,,WDST,,,
,,,,,Mid,v-multi,,,,,,,,,
,,,,,Hudson Civic Center,,,,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12601,Hudson Valley Philharmonic,mc,Bardavon,v-mult,there's plenty but I don't have enough $ or time,,,PoJo,,,
,,,,,Mid,mg-sy,UPAC,v-mult,,,,,,,
,,,,,Hudson Chinese Community Association,,,,,,,,,,
,,,,,Bardavon,v-cult,Hudson Valley Philharmonic,mc,,,,,,,
,,,,,,v-multi,,mg-sy,,,,,,,
Dragon,Dutchess,cultural festival,Town of Poughkeepsie,12603,theater,t,Bardavon,v-multi,more outdoor concerts on Friday and Saturday nights,,web:,PoJo,,,
,,,,,concerts,mc,County Players,tc,perhaps with big name artists,,,,,,
,,,,,,,Walkway Over the Hudson,c-tl,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12601,all of them,,Native American Festival,f-cult,more interactive festivals for children,kf,HV News (??paper or Network??),K104.7,,,
,,,,,,,Balloon festival,c-t,,,PoJo,,,,
,,,,,,,,**,,,,,,,
Dragon,Dutchess,cultural festival,Poughquag,12570,Stringendo,m-grp,music,m,Northern art museum,,,,,,
,,,,,Northern Dutchess Symphony Orchestra,m-grp,culture,v-cult,natural history,,,,,,
,,,,,,mg-sy,arts,a,,,,,,,
Dragon,Dutchess,cultural festival,Beekman,12582,art shows,as,Dragon Boat Races,f-cult,ballet company,dc,,,,,
,,,,,concerts (free concert,mc,,c-t,recommendations from others,,,,,,
,,,,,Bowdoin Park),,,,,,,,,,
Dragon,Dutchess,cultural festival,Saugerties,12477,Balloon Festival,c-t,photography,ag-photo,more photo galleries,ag,WRNN-TV,WRNN-TV,,,
,,,,,Garlic Festival,c-t,,,,ag-photo,WRWD 107.3,WRWD 107.3,,,
,,,,,Pickle Festival,c-t,,,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12601,depends,,depends,,depends,,,,,,
,,,,,,,,,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12601,Bardavon,v-multi,Bardavon,v-multi,jazz clubs,vm,,PoJo,,,
,,,,,Upstate Films,v-flm,Upstate Films,v-flm,free educational programs in shcools,mg-j,,email from Ray Watkins,,,
,,,,,,,,,,**,,email from organizations,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12601,Bardavon,v-multi,Bardavon,v-multi,youth center,**,web: Mid-Hudson Heritage Center,PoJo,,,
,,,,,Mid,v-multi,Vassar college art gallery,vc,,,,Chronogram,,,
,,,,,Hudson Heritage Center,,Walkway Over the Hudson,ag,,,,recommendations,,,
,,,,,,,,c-tl,,,,,,,
Dragon,Dutchess,cultural festival,Clinton Corners,12514,Local Mansions,c-t,theater,t,,,web: PoJo,fb,,,
,,,,,Center for the Performing Arts at Rhinebeck,vt,art,a,,,,92.1Lite FM,,,
Dragon,Dutchess,cultural festival,Salt Point,12578,Mill Street Loft Summer Camp,ac,Clearwater Festival,fm,concerts,mc,Mid-Hudson News.com,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12603,Bardavon,v-multi,Bardavon,v-multi,more focus on dance concerts and dances,d,PoJo,,,,
,,,,,and other festivals,f,UPAC,v-multi,,,,,,,
,,,,,concerts,mc,Clearwater Festival,fm,,,,,,,
,,,,,,,strawberry festival,**,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12601,Vassar,vc,classical music,mg-c,more string instrument events,,PoJo,K104.7,,,
,,,,,Bardavon,v-multi,concerts,mc,,,,church: Freedom Plains Presbyterian,,,
,,,,,UPAC,v-multi,,,,,,,,,
Dragon,Dutchess,cultural festival,LaGrange,12603,Mid,kmu,,,more outdoor concerts,v-out,web: Dutchess County Chamber site,,,,
,,,,,Hudson Children's Museum,,,,,,,,,,
,,,,,DIA,am,,,,mc,,,,,
,,,,,local historical sites,c-th,,,,,,,,,
Dragon,Dutchess,cultural festival,Hopewell Junction,12533,AAUW Poughkeesie Branch,**,all college exhibitions,vc,more monetary support for organizations we have,,web: Dutchess County Tourism,fb for arts orgs,,,
,,,,,Art on the Go,,presentations,v-mu,,,college web pages,PoJo,,,
,,,,,,,museums,ac,,,,,,,
,,,,,,,Dutchess county arts association,ac,,,,,,,
,,,,,,,Mill Street Loft,v-mp,,,,,,,
,,,,,,,Cunneen-Hackett,v-multi,,,,,,,
,,,,,,,Bardavon,,,,,,,,
Dragon,Dutchess,cultural festival,Kingston,12401,Cappella Festivals,gm,,,,,,,,,
,,,,,Kairos,**,,,,,,,,,
,,,,,Hudson Valley Philharmonic,m-grp,,,,,,,,,
,,,,,,mg-sy,,,,,,,,,
Dragon,Dutchess,cultural festival,Poughkeepsie,12603,Bardavon,v-multi,,,revive downtown galleries,,radio: occasionally,PoJo,,,
,,,,,Mid,kmu,,,,,,,,,
,,,,,Hudson Children's Museum,,,,,,,,,,
,,,,,Powerhouse Theater free apprentice theater,vt,,,,,,,,,
,,,,,Dutchess County Fair,v-multi,,,,,,,,,
,,,,,Guelagetza,f-cult,,,,,,,,,
,,,,,Jeep Johnson's classes and sales,df,,,,,,,,,
,,,,,Arlington Street Fair,aos,,,,,,,,,
,,,,,Dragon Boat Festival,f-st,,,,,,,,,
,,,,,Waryas Park Concerts,f-cult,,,,,,,,,
,,,,,Barrett Art Center openings,c-tp,,,,,,,,,
,,,,,Dutchess Community College quilt exhibit,ac,,,,,,,,,
,,,,,,vc,,,,,,,,,
Dragon,Dutchess,cultural festival,New Paltz,12561,gallery openings,ago,,,independent movie theater,v-mo,web: Northern Dutchess Symphony Orchestra,fb,,,
,,,,,musical openings,m,,,,,,,,,
,,,,,artist collective,agrp,,,,,,,,,
,,,,,Hyde Park,,,,,,,,,,
Dragon,Dutchess,cultural festival,New Paltz,12561,showings,as,fine arts,a,,,,,,,
,,,,,classes,aed,theater,t,,,,,,,
,,,,,,,festival on the Hudson,g,,,,,,,
,,,,,,,,c-t,,,,,,,
Dragon,Dutchess,cultural festival,Hyde Park,12538,Bardavon,v-multi,choral and dance,m,outdoor performance arts stage (smaller * of SPAC or Tanglewood),v-out,,,,,
,,,,,museum in the parks,v-out,,d,,,,,,,
,,,,,Hudson Valley Philarmonic,mc,,,,,,,,,
,,,,,Hudson Valley Folk Guild,mgrp,,,,,,,,,
,,,,,Bassar,mg-sy,,,,,,,,,
,,,,,Bard College,**,,,,,,,,,
,,,,,,vc,,,,,,,,,
Dragon,Dutchess,cultural festival,Lagrange,12603,DIA,am,art openings,as,****,,web: Hudson Valley,fb,,,
,,,,,Howland Cultural Center,v-mp,riverfront cultural events,v-out,,,Bardavon,Twitter,,,
,,,,,Beacon Theater,t,,,,,PoJo,PoJo,,,
7/17/2014 21:01:06,"
",,Shandaken,12480,Arts Upstairs,ag,The Arts Upstairs,ag,Community center for the arts,ac,Print - Magazines,Almanac,,,
,,,,,Phoenicia  Shandaken Studio Tour,aos,Phoenicia Festival of the Voice,fm,,,Social media,Woodstock Times,,,
,,,,,,,,,,,Email newsletters,Watershed Post,,,
,,,,,,,,,,,recommendations from people I know,,,,
,,,,,,,,,,,Webpages,,,,
7/31/2014 13:40:34,online,,LaGrange,12603,Cunneen,v-mp,dance,d,An expanded library in LaGrange,,Print - Magazines,Chronogram,,,
,,,,,Hackett,,,,,,,,,,
,,,,,Boscobel,vt,theater,t,,,Email newsletters,,,,
,,,,,Half,vt,,,,,recommendations from people I know,,,,
,,,,,Moon Theater, Concerts at colleges and small venues, Literary readings at libraries,,,,,,,,
,,,,,colleges,mc,,,,,Webpages,,,,
,,,,,the Millbrook Poetry Society,vc,,,,,,,,,
,,,,,Words Words Words,lr,,,,,,,,,
,,,,,Upstate Films,,vl,,,,,,,,
,,,,,,lp,,,,,,,,,
,,,,,,lr,,,,,,,,,
,,,,,,v-flm,,,,,,,,,
chalk 01,Ulster,art,Montgomery,12549,Wallkill River School of Art,ac,Hudson,c-t,horse and water transportation,,fb,fb,,,
,,,,,,,Wallkill rivers and shw.** mountain range,,free for all,,Wallkill River School of Art,Mid-Hudson Times,,,
,,,,,,,,,,,,Times Herald Record online,,,
,,,,,,,,,,,,YNN Cable 6 news,,,
,,,,,,,,,,,,WDST,,,
,,,,,,,,,,,,First Presby Church of Montgomery,,,
,,,,,,,,,,,,Habitat for Humanity Newburgh,,,
,,,,,,,,,,,,Orange County Toursim,,,
chalk 02,Ulster,art,Poughkeepsie,12603,Bardavon,v-multi,,,music,m,fb,WPDH,,,
,,,,,Walkway Over the Hudson,c-tl,,,,,Wallkill River School of Art,Fox Radio,,,
,,,,,,,,,,,,PoJo,,,
chalk 03,Ulster,art,Hyde Park,12538,,,theater,t,,,PoJo,cable tv,,,
,,,,,,,,,,,,St. James Church in HP,,,
chalk 04,Ulster,art,Middletown,10940,New Paltz Art Fairs,fa,sculpture,ag-s,Native American tribute,,google,,,,
,,,,,,,painting,a,,,,,,,
,,,,,,,chalk art media,a,,,,,,,
,,,,,,,fine jewelry,cft,,,,,,,
,,,,,,,tribute to native americans,,,,,,,,
chalk 05,Ulster,art,New Paltz,12561,New Paltz Chalk Festival,fa,I liked the New Paltz Chalk festival and I think it's important,fa,photo exhibitions,as,Wate Street Market site,,,,
,,,,,,,,,,ag-photo,SUNY New Paltz site,,,,
chalk 06,Ulster,art,Woodstock,12498,galleries,ag,art,a,community artspace,,,,,,
,,,,,farm tours,c-t,music,m,,,,,,,
,,,,,,,agriculture,**,,,,,,,
chalk 07,Ulster,art,Highland,12528,art fairs,af,fire art exhibitions,"as
",more stage theater,am,Chronogram,Chronogram,,,
,,,,,independent movies,v-mo,,,dramatic readings,,,,,,
,,,,,literary writers events,lr,,,literary events,,,,,,
,,,,,,,,,major art events,,,,,,
,,,,,,,,,opera,,,,,,
chalk 08,Ulster,art,Middletown,10940,DIA,am,DIA,am,more street art and local talent,,Hudson Valley Mag,,,,
,,,,,fairs,af,Olana,c-t,,,,,,,
,,,,,festivals,a,,,,,,,,,
,,,,,art,,,,,,,,,,
chalk 09,Ulster,art,New Paltz,,art openings,as,,,museum in New Paltz area,kac,FB,Dragon Boat,,,
,,,,,outdoor events,ag,,,including performing arts and kids activities in ***,,,Hudson Walkway Over the Hudson walks,,,
,,,,,Wired Gallery,vc,,,also movie house,,,leukemia walk,,,
,,,,,Vassar Art Galleries,am,,,,,,Vassar art gallery,,,
,,,,,ASK,ag,,,,,,Loeb center,,,
chalk 10,Ulster,art,New Paltz,12561,New Paltz Chalk Festival,af,all non-specific,,sculpture displays,ag-s. ,newspaper,New Paltz Times,,,
,,,,,SUNY New Paltz programs,v-out,,,,,,Mix 97.7FM (WCZX),,,
,,,,,Opus 40,vc,,,,,,,,,
,,,,,,ag,,,,,,,,,
,,,,,,ag-s,,,,,,,,,
chalk 11,Ulster,art,New Windsor,,DIA,am,not sure,,music performance venue,vm,,,,,
,,,,,fairs,as,,,,,,,,,
,,,,,festivals,af,,,,,,,,,
,,,,,art,a,,,,,,,,,
Saugerties OS,Ulster,art,Phoenicia ,12464,Free ones,v-out,Falcon,vm,a community center with performance space,,hv music.com (Hudson Valley Music),,,,
,,,,,outdoors,,Clearwater Festival,fm,,,,,,,
,,,,,,,,,,,,,,,
Saugerties OS,Ulster,art,Phoenicia ,12464,Arts Upstairs,ag,Open studio tours,aos,community center,,posters,,,,
,,,,,festival,aos,,,,,a few listserves,,,,
,,,,,Shandaken Theatrical Society,vt,,,,,,,,,
,,,,,Byrdcliffe,tc,,,,,,,,,
,,,,,,ac,,,,,,,,,
Saugerties OS,Ulster,art,Kingston,12461,Arts Upstairs,ag,art shows,as,more galleries,ag,Kingston Happenings.co,fb,,,
,,,,,ASK,ag,galleries,ag,,,,Chronogram,,,
,,,,,Music in the Park,v-out,,,,,,Almanac from Ulster publishing,,,
,,,,,Uptown Kingston,vm,,,,,,,,,
,,,,,,c-tr,,,,,,,,,
Saugerties OS,Ulster,art,Kingston,12401,Arts Upstairs,ag,Open studio tours,ag,art museum in Kingston,am,ASK website,WKZE community cal,,,
,,,,,ASK,ag,Kingston festival of arts,af,,,Kingston Times calendar,Art Upstairs website,,,
,,,,,Tivoli Artists Co,agrp,,,,,,,,,
,,,,,op,,,,,,,,,,
Saugerties OS,Ulster,art,Saugerties,12477,Woodstock,c-tr,anything in Hudson and arts upstairs in Phoenicia ,a,more plays,t,Woodstock Times,,,,
,,,,,Hudson and Phoenicia,,,ag,,,WDST,,,,
Saugerties OS,Ulster,art,green county,,Art Upstairs,ag,,,,,,,,,
Saugerties OS,Ulster,art,Fleishmanns,12430,ASK,ag,,,a new large venue,,,,,,
,,,,,Arts Upstairs,ag,,,,,,,,,
Saugerties OS,Ulster,art,,,,,,,,,,,,,
Saugerties OS,Ulster,art,Chichester,12416,theater,t,Shandaken Theatrical Society,vt,a university arts program,,Watershed Post,Upstaters on fb,,,
,,,,,art,a,art upstairs,tc,,,,,,,
,,,,,music,m,,ag,,,,,,,
Saugerties OS,Ulster,art,Phoenicia,12464,Shandaken Theatrical Society,vt,Shandaken Theatrical Society,vt,more theater and music,vt,,NPR (WAMC local station),,,
,,,,,Arts Upstairs,tc,Arts Upstairs,tc,,vm,,,,,
,,,,,,ag,,ag,,,,,,,
Peace and Love,Dutchess,cultural,Poughkeepsie,12601,concerts,mc,music,m,,,HV Openmic.com,fb,,,
,,,,,open mics,p-om,art galleries,ag,,,,PoJo,,,
,,,,,art galleries,ag,open mics,p-om,,,,WPDH,,,
,,,,,,,youth talent mentoring,**,,,,,,,
Peace and Love,Dutchess,cultural,LaGrange,12603,Ciboney Open Mic,p-om,music,m,museums,,Poet Gold/ John Flowers,WHVW,,,
,,,,,peace rallys,**,healing arts,**,holistic healing arts,,,,,,
,,,,,,,,,yourth mentoring groups,,,,,,
Peace and Love,Dutchess,cultural,Wappingers Falls,12509,still getting familiar with area,,Vanderbilt Mansion,c-th,art shows,as,,WPDH,,,
Peace and Love,Dutchess,cultural,Poughkeepsie,12601,parks and rec,c-tl,breaking barriers,v-cult,children museum,kmu,recommendation from people i know,,,,
,,,,,cultural events,v-clt,,,art fairs,af,,,,,
,,,,,arts and crafts,a,,,,,,,,,
,,,,,,cft,,,,,,,,,
Peace and Love,Dutchess,cultural,Poughkeepsie,12601,any i am invited to (smiley face),,Bardavon,v-multi,greater school partnerships with arts community,,fb,love 39 tv **??,,,
,,,,,,,warayas part,c-tl,,,PoJo,Arts Mid-Hudson,,,
,,,,,,,Arts Mid-Hudson events,aorg,,,,,,,
Peace and Love,Dutchess,cultural,Poughkeepsie,12601,Bardavon,v-mult,important to support artists,,arts district,,,,,,
,,,,,Cunneen,v-mp,jazz,,,,,,,,
,,,,,Hackett,,,,,,,,,,
,,,,,Jazz in the Valley,mg-j,music,,,,,,,,
,,,,,,fm,,,,,,,,,
Peace and Love,Dutchess,cultural,Poughkeepsie,12603,music,m,music,m,museum,"v-mu
",newspaper,Woodstock radio WDST,,,
,,,,,,,,,,,friends recommendations,,,,
Peace and Love,Dutchess,cultural,Poughkeepsie,12601,community based,"e-loc
",,,dance and performing arts center for adults and kids,kt,social media,,,,
,,,,,,,,,,kd,FB,,,,
Peace and Love,Dutchess,cultural,Kingston,12401,BSP Kingston,vm,Mid-Hudson Heritage Center,vm,local artist marketplac in Town of Poughkeepsie,,Chronogram,WKZW,,,
,,,,,Kingston Night Market,m-live,Art Centro,m-live,,,Almanac,Arts Mid-Hudson,,,
,,,,,Mid,v-multi,BSP,v-multi,,,,AC**?,,,
,,,,,Hudson Heritage Center,,,,,,,Mid-Hudson Heritage Center,,,
,,,,,Art Centro,v-multi,,v-multi,,,,City of Kingston event news,,,
,,,,,,ac,,ac,,,,,,,
,,,,,,aed,,aed,,,,,,,
Peace and Love,Dutchess,cultural,Poughkeepsie,12601,Ulster County Fair,v-out,Ciboney,p,dance studios,vd,,people i know,,,
,,,,,,**,Bardavon,v-multi,art museums,am,,,,,
Peace and Love,Dutchess,cultural,Poughkeepsie,12601,just moved in 2 months ago,,,,more open mic and poetry,lp,PoJo,,,,
,,,,,,,,,,m-live,,,,,
,,,,,,,,,,e-loc,,,,,
